NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,438.969573847594
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,451.48239764476403
b38a03232f43b11c9d0788abaf060f7366053b6d,586.8364010244512
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.2850898589393196
715494628a50142ce8cb17191cfe6d0f3cae0934,541.5711879614869
e656d6bad65c93fb2880f1eba5037008c8e75774,470.8690686846425
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,530.9317641296458
11539e86171bf07d3a36f09377d7f54ebcc8406a,442.7457536554101
043c544a2104aa8a9849f1a703a08d37a2f16839,474.7774699830627
76ba050e64ad100b856f0eaabd8f539d5c7dd185,431.9702035000492
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.2850898589393196
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.2850898589393196
940aede382ccb332fab15d413217695ec44ca765,437.9217121689843
9ad714b116da76d878dd399d187fccc2dd13dd63,575.8550674974206
dd34464a4d780b12a089347ad580418ac57a3055,515.0813964206837
f837a4cb05a5fd59d20138182f5e8c721eadd584,471.3052520501767
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.2850898589393196
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.2850898589393196
8b0c675d7fde14953668269d378c588f0df0498b,0.2850898589393196
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,432.4514201162232
3d203727f27abd83b71732d88d8cb1cc099f363b,447.27463962396206
d30d31c8ff45094e9a992c63d4a6f68b245a341a,5.658923082295007
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.2850898589393196
cbc301183dec912f3513ca766bf03dd565f3a38f,466.1234571715669
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,637.5526643569751
11282da1ee78c8db45a041db4c744e33df489df0,432.55474135802706
03c67f683a415c2ea09b582248bd4cb08528c19d,592.7066870785695
046e844fb06a07ba30b41521f0065a8d9c6e5024,428.19039697741965
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,441.858397570382
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.2850898589393196
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.2850898589393196
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,430.9675509810786
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,542.9354494590619
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,480.6061422912946
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,513.1332569873218
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,483.3472559661046
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,449.5001902639663
59bfa081e020013410d9f60f91813964ba749bb2,434.7974762469598
f5e069ee3bc95998464e8ff5da048b7f999921ed,446.82408424909664
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,609.9032457875824
664f44258212a1f7e4086f2b4845d586c543fa3f,472.57972973367754
265cd7befa74a9f2a198fc57baec9858075f8419,443.188956178842
6f9ac44919bbd204e0ef15185388fd2d4bc61253,486.9165083212416
78de1ee60b55766cc3eba4089e36c57139b66ebd,454.42602677099154
24550edb10f283ef4e953fd6a8fedbfa211bd456,0.2850898589393196
1e61a474acdc043eb39a89c17fab34bd2ea1a940,439.70954950099446
940af68ded6af2875708611051aa7ff3f134d80b,480.3618048076895
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,489.84658533119006
c76ddf6e9f80984e901b12f9462a3cf029bea290,456.1544525360824
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,455.0339024678342
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,17.907876992312726
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,2.6924339125908365
92823d467a2ced9529801e0e8a94802dd88f0c17,438.7336130147139
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,580.3764830835953
413cbb38b2e2522f8167ffb9daeac1347b281393,463.2926151048086
68985fad004092956a4b4ce94dd53dc76d07eaf7,475.70151637805617
bdca9aeb19521675af15f2c28d86f6bebc45a834,497.10096998229704
b65b19d42b7a4b644fe9f99366dcb37b120862d9,440.4450240609825
eda898aa8ec465cbac70de72ead0c6d688e5f95a,442.15631999289394
5357b6c09be4c7f3829b72f80de846a9228253cb,0.2850898589393196
8d5c4481d736f6ce27976e400f4245bf10757608,432.83686082306554
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,0.20320027083935702
089613ac7dca24109f84c72a97c83b2768b1df1c,0.2850898589393196
527773409bf373301dbd835e59a263c035c043b8,0.2850898589393196
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,0.2850898589393196
c4cea54435c0fd0e171eed4c215479bb3ca86113,447.1116957901935
7d5cd89c6112b9a202a025a24355135bc60848c6,466.68947526055695
b70ab62384aa80545928a311f5b5d3db2f4d87ee,534.8571186007856
c96431dd924f366d2229a7f1455388b8cd85be49,564.1228304990588
1b72da5bb82cc150ecfe71218c02f155d694230b,0.2850898589393196
e429507efe1c2680cc464481850117d17083cd88,0.20320027083935702
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,438.48283075381886
e724482370ae6126008ade80b564ad8d8a0a7cbd,451.12766156360897
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,633.934095010454
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,0.2850898589393196
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,469.8470530999983
7f898f8939ae054359f83ee154bb91bc7dd2c959,547.2868521239486
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,469.00218902898337
82e3b12c6366008fabc238f299f117074e78de5d,431.81569715490406
0d838be0e718ceb786cdb10fcc12559e00440240,476.4448159071311
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,484.98537117700425
5a9d89465845ac2d81366275cbb1a81d627efd36,0.2850898589393196
c83fe640ba466ba904ac1055e53a875289888797,448.21973194541533
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,461.87026501239444
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,426.13047324305916
328639a0c753715c30a58bae70c82f2101153eb3,448.1882871505437
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,0.2850898589393196
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,519.5347986089955
f56746cc2900258507d2b32c126f8db090db856f,448.84711869493185
1a4963b5fea8bb25c67750cdafbe84b01efad177,435.6993905085752
b520c940e62f4ed684417e7eacf00d85752060da,492.6783597668361
2e170cf2651ed448991af6fc5df15167733b2d8f,475.6653195977743
6efdd93a0ae289be6bb5a400bfc1deb077d75886,436.4501085579494
72ac2acc787d8cba0934cca3810ac091d792c8db,527.0050749199022
92a25eee14554806f081869cc9dac868fd1860fb,446.26403845837615
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,434.5064898697555
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,451.41334388212465
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,523.1924226237528
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,444.22050769992626
1730807e4916c5f7e8ab21e02ac5657bcea3e732,0.2850898589393196
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,460.6853640423116
1a46d99716282410d1170f0f35069b34e34415d4,452.072538709824
0467e022da4ef897f666bc76f31e1bc8976f7e92,477.65371985492766
993aca0d5eac6741117947c82a3647102096255e,449.8263284011823
94c96ade6ade21deb080bba6aad537fc4f195d47,499.49034704697084
36bb672077a46a3e4755cef90437a616d28bdf23,443.3794255716568
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,444.7804189597979
328ca19128d276eb4fbc309c54ec7f346c803d2f,712.1764229184918
27cdb62f0a2a5467efeb30aafbf246ed2320c532,428.26681573005544
c52cae37c3653620bbec72264c502f45ca2a8671,0.2850898589393196
f9ef2695eb0986666093945894b8f2fee351bf22,488.5309683129191
2178c497293d0cab01ce74f5105b1a398fb12d8e,0.2850898589393196
e21faa0c07406dde71ec02f266b19b314ba8b0e2,0.20320027083935702
8a021391cdaac100dab56c59284bd50137a74129,537.6444622358799
12ee0df69325d97cb95404958c4acf4112aeab8a,0.2850898589393196
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,489.3512387899514
66cf0f8b5af2466f9616fd15c0c10344df84982a,0.2850898589393196
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,448.69293633958614
60edc5708acd60680891ea15379dd07c7a5924ff,0.2850898589393196
b9f786712775e0d1d735398d710b01f404c985a3,430.86102159722003
564958997e204bda06fbe90afc4722805c78a855,579.1968025656548
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,435.7434803644562
527098f4ee3ceb5c393981930d23b8fe154f4db9,0.2850898589393196
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,478.5397287385183
8296743fdd105ce9183561cf5b359b0a3781465e,438.4880251077271
a3b79e8c739832c77df2ba6bcdb23a7518155a33,0.20320027083935702
6602c7f15a1fdd082265b64976448c6809df792d,445.9671229363264
31ae66f0fe024acae4490915c348e487f2367574,511.8893210254834
81901aa980653106e64863d957387d24e2c00af3,433.5514748516671
28e10d1bd0b6effe0edd503446ebda948ad240ad,439.87402016040625
53a7ee52a87f80241e2ca13c923e06b72bf3a059,432.7991316227887
